"ParkCode","ParkName","CategoryName","Order","Family","SciName","CommonNames","Occurrence","Nativeness","Abundance","ParkTags","ElevationRange","TaxaGroup"
"GRSM","Great Smoky Mountains National Park","Mammal","Artiodactyla","Cervidae","Odocoileus virginianus","WHITE-TAILED DEER","Present","Native","Common","Elevation Range: Low to High; Species Record Status: Pre 1998; Taxa Group: Mammal","Low to High","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Carnivora","Canidae","Urocyon cinereoargenteus","common gray fox","Present","Native","Common","Elevation Range: Low; Habit: Nocturnal; Species Record Status: Pre 1998; Taxa Group: Mammal","Low","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Carnivora","Felidae","Lynx rufus","BOBCAT","Present","Native","Common","Elevation Range: Low to High; Species Record Status: Pre 1998; Taxa Group: Mammal","Low to High","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Carnivora","Mephitidae","Mephitis mephitis","STRIPED SKUNK","Present","Native","Common","Elevation Range: Low to High; Park Rank: Park uncommon; Species Record Status: Pre 1998; Taxa Group: Mammal","Low to High","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Carnivora","Mephitidae","Spilogale putorius","EASTERN SPOTTED SKUNK","Present","Native","Rare","Elevation Range: Low; Park Rank: Park rare; Species Record Status: Pre 1998; Taxa Group: Mammal","Low","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Carnivora","Mustelidae","Mustela frenata","LONG-TAILED WEASEL","Present","Native","Common","Elevation Range: Low to High; Species Record Status: Pre 1998; Taxa Group: Mammal","Low to High","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Carnivora","Procyonidae","Procyon lotor","common raccoon","Present","Native","Common","Elevation Range: Low to High; Park Rank: Park uncommon; Species Record Status: Pre 1998; Taxa Group: Mammal","Low to High","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Carnivora","Ursidae","Ursus americanus","BLACK BEAR","Present","Native","Common","Elevation Range: Low to High; Park Rank: Park uncommon; Species Record Status: Pre 1998; Taxa Group: Mammal","Low to High","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Chiroptera","Vespertilionidae","Corynorhinus rafinesquii","RAFINESQUE'S BIG-EARED BAT","Present","Native","Uncommon","Elevation Range: Low; Park Rank: Park scarce; Species Record Status: Pre 1998; Taxa Group: Mammal","Low","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Chiroptera","Vespertilionidae","Eptesicus fuscus","BIG BROWN BAT","Present","Native","Uncommon","Elevation Range: Low to Mid; Park Rank: Park infrequent; Species Record Status: Pre 1998; Taxa Group: Mammal","Low to Mid","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Chiroptera","Vespertilionidae","Lasiurus borealis","eastern red bat","Present","Native","Common","Elevation Range: Low to Mid; Species Record Status: Pre 1998; Taxa Group: Mammal","Low to Mid","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Chiroptera","Vespertilionidae","Myotis lucifugus","little brown bat","Present","Native","Rare","Elevation Range: Low; Park Rank: Park scarce; Species Record Status: Pre 1998; Taxa Group: Mammal","Low","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Chiroptera","Vespertilionidae","Myotis septentrionalis","northern Myotis, Keen's Myotis","Present","Native","Rare","Elevation Range: Low; Park Rank: Park scarce; Species Record Status: Pre 1998; Taxa Group: Mammal","Low","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Lagomorpha","Leporidae","Sylvilagus floridanus","EASTERN COTTONTAIL","Present","Native","Common","Elevation Range: Low to High; Habit: Nocturnal; Taxa Group: Mammal","Low to High","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Rodentia","Castoridae","Castor canadensis","American beaver","Present","Native","Uncommon","Elevation Range: Low; Park Rank: Park infrequent; Species Record Status: Pre 1998; Taxa Group: Mammal","Low","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Rodentia","Cricetidae","Microtus pinetorum","WOODLAND VOLE, PINE MOUSE","Present","Native","Uncommon","Elevation Range: Low and High; Habit: Nocturnal; Habitat: terrestrial; Park Rank: Park infrequent; Species Record Status: Pre 1998; Taxa Group: Mammal","Low and High","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Rodentia","Cricetidae","Neotoma floridana","EASTERN WOODRAT","Present","Native","Rare","Elevation Range: Low; Habit: Nocturnal; Habitat: terrestrial; Taxa Group: Mammal","Low","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Rodentia","Cricetidae","Ochrotomys nuttalli","GOLDEN MOUSE","Present","Native","Uncommon","Elevation Range: Low; Habit: Nocturnal; Habitat: terrestrial; Park Rank: Park infrequent; Species Record Status: Pre 1998; Taxa Group: Mammal","Low","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Rodentia","Cricetidae","Ondatra zibethicus","MUSKRAT","Present","Native","Common","Elevation Range: Low; Habitat: terrestrial; Park Rank: Park infrequent; Species Record Status: Pre 1998; Taxa Group: Mammal","Low","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Rodentia","Cricetidae","Peromyscus gossypinus","COTTON MOUSE","Present","Native","Uncommon","Elevation Range: Low; Habit: Nocturnal; Habitat: terrestrial; Park Rank: Park infrequent; Species Record Status: Pre 1998; Taxa Group: Mammal","Low","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Rodentia","Cricetidae","Peromyscus maniculatus","DEER MOUSE","Present","Native","Common","Elevation Range: Low to High; Habit: Nocturnal; Park Rank: Park common; Species Record Status: Pre 1998; Taxa Group: Mammal","Low to High","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Rodentia","Cricetidae","Reithrodontomys humulis","EASTERN HARVEST MOUSE","Present","Native","Rare","Elevation Range: Low; Habit: Nocturnal; Park Rank: Park scarce; Species Record Status: Pre 1998; Taxa Group: Mammal","Low","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Rodentia","Cricetidae","Sigmodon hispidus hispidus","Common Cotton Rat","Present","Native","Rare","Elevation Range: Low; Habit: Nocturnal; Park Rank: Park infrequent; Species Record Status: Pre 1998; Taxa Group: Mammal","Low","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Rodentia","Cricetidae","Synaptomys cooperi","SOUTHERN BOG LEMMING, Southern Lemming Mouse","Present","Native","Uncommon","Elevation Range: Low to High; Habit: Nocturnal; Habitat: terrestrial; Park Rank: Park infrequent; Species Record Status: Pre 1998; Taxa Group: Mammal","Low to High","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Rodentia","Dipodidae","Napaeozapus insignis","WOODLAND JUMPING MOUSE","Present","Native","Uncommon","Elevation Range: Low to High; Habit: Nocturnal; Habitat: terrestrial; Park Rank: Park infrequent; Species Record Status: Pre 1998; Taxa Group: Mammal","Low to High","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Rodentia","Dipodidae","Zapus hudsonius","MEADOW JUMPING MOUSE, NORTHERN MEADOW JUMPING MOUSE","Present","Native","Rare","Elevation Range: Low; Habit: Nocturnal; Habitat: terrestrial; Park Rank: Park scarce; Species Record Status: Pre 1998; Taxa Group: Mammal","Low","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Rodentia","Muridae","Mus musculus","HOUSE MOUSE","Present","Non-native","Rare","Elevation Range: Low; Habitat: terrestrial; Park Rank: Park rare; Species Record Status: Pre 1998; Taxa Group: Mammal","Low","Mammal"
"GRSM","Great Smoky Mountains National Park","Mammal","Rodentia","Muridae","Rattus norvegicus","NORWAY RAT, BROWN RAT","Present","Non-native","Rare","Elevation Range: Low to High; Habit: Nocturnal; Habitat: terrestrial; Park Rank: Park rare; Species Record Status: Pre 1998; Taxa Group: Mammal","Low to High","Mammal"
